"Id","IsDeleted","MasterRecordId","AccountId","Salutation","FirstName","LastName","OtherStreet","OtherCity","OtherState","OtherPostalCode","OtherCountry","OtherLatitude","OtherLongitude","OtherGeocodeAccuracy","MailingStreet","MailingCity","MailingState","MailingPostalCode","MailingCountry","MailingLatitude","MailingLongitude","MailingGeocodeAccuracy","Phone","Fax","MobilePhone","HomePhone","OtherPhone","AssistantPhone","ReportsToId","Email","Title","Department","AssistantName","LeadSource","Birthdate","Description","OwnerId","HasOptedOutOfEmail","HasOptedOutOfFax","DoNotCall","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastCURequestDate","LastCUUpdateDate","EmailBouncedReason","EmailBouncedDate","Jigsaw","JigsawContactId","IndividualId","Activation_Date__c","ActiveLiveAgentUser__c","Active_Customer__c","Age__c","Customer_Code__c","Customer_Number__c","Customer_Relationship_Type__c","Customer_Tenure__c","Customer_Type__c","Deceased__c","Employment_Status__c","ExternalId__c","Foreigner__c","Gender__c","Household_Income__c","Joined_By_Channel__c","Last_Date_As_Primary_Customer__c","New_Customer__c","Primary_Address__c","Primary_Customer__c","Province_Code__c","Resident_Of_Bank_Country__c","Segment__c","Spouse_Of_Employee__c","test__c","Customer_Region__c","Race__c","Industry__c","Debt_Service__c","Home_Branch_Location__c","Parent_Legal_Entity__c","Total_Bank_Deposits__c","Total_Financial_Accounts__c","Total_Outstanding_Credit_Primary_Owner__c","Total_Won_Opportunities__c","CSAT__c","Delinquent_Status__c","Customer_Category__c","Segment_Type__c","Premier_Customer__c","Churn_Score__c","DC_Pred__c","DC_Pred2__c"
"003B000000HTCTbIAP","0","","001B000001KJzZvIAL","","Geoff","Minor","150 Chestnut Street","Toronto","Ontario","L4B 1Y3","Canada","","","","150 Chestnut Street","Toronto","Ontario","L4B 1Y3","Canada","","","","(415) 555-1212","","","","","","","info@salesforce.com","President","","","","","","005B0000006Mf6rIAC","0","0","0","2020-06-16 14:31:10","005B0000006Mf6rIAC","2022-02-24 02:03:55","005B0000006Mf6rIAC","2022-02-24 02:03:55","","","","","","","","000000000000000AAA","","0","0","","","","","","","0","","","0","","","","","0","0","0","","0","","0","","","","","","","0","","","","","","0","","Business","0","35","",""
"003B000000HTCTcIAP","0","","001B000001KJzZvIAL","","Carole","White","","","","","","","","","150 Chestnut Street","Toronto","Ontario","L4B 1Y3","Canada","","","","(415) 555-1212","","","","","","003B000000HTCTbIAP","info@salesforce.com","VP Sales","","","Employee Referral","","Carole White is looking at moving forward with our products and will act as the champion for us.","005B0000006Mf6rIAC","0","0","0","2020-06-16 14:31:10","005B0000006Mf6rIAC","2021-03-03 22:45:11","005B0000006Mf6rIAC","2021-03-03 22:45:11","","","","","","","","000000000000000AAA","","0","0","","","","","","","0","","","0","","","","","0","0","0","","0","","0","","","","","","","0","","","","","","0","Personal Banking","Personal","","","",""
"003B000000HTCTdIAP","0","","001B000001KJzZvIAL","","Jon","Amos","","","","","","","","","150 Chestnut Street","Toronto","Ontario","L4B 1Y3","Canada","","","","(905) 555-1212","(555) 555-1212","","","","","003B000000HTCTcIAP","info@salesforce.com","Sales Manager","","","","","","005B0000006Mf6rIAC","0","0","0","2020-06-16 14:31:10","005B0000006Mf6rIAC","2022-02-24 02:03:55","005B0000006Mf6rIAC","2022-02-24 02:03:55","","","","","","","","000000000000000AAA","","0","0","","","","","","","0","","","0","","","","","0","0","0","","0","","0","","","","","","","0","","","","","","0","","Personal","0","54","",""
"003B000000HTCTeIAP","0","","001B000001KJzZwIAL","","Edward","Stamos","10 Main Rd.","New York City","NY","31349","USA","","","","10 Main Rd.","New York City","NY","31349","USA","","","","(212) 555-5555","(212) 555-5555","","","","","","info@salesforce.com","President and CEO","","","","","","005B0000006Mf6rIAC","0","0","0","2020-06-16 14:31:10","005B0000006Mf6rIAC","2022-02-24 02:08:45","005B0000006Mf6rIAC","2022-02-24 02:08:45","","","","","","","","000000000000000AAA","","0","0","","","","","","","0","","","0","","","","","0","0","0","","0","","0","","","","","","","0","","","","","","0","Personal Banking","Personal","1","17","",""
"003B000000HTCTfIAP","0","","001B000001KJzZwIAL","","Howard","Jones","","","","","","","","","10 Main Rd.","New York","NY","31349","USA","","","","(212) 555-5555","(212) 555-5555","","","","","","info@salesforce.com","Buyer","","","","","","005B0000006Mf6rIAC","0","0","0","2020-06-16 14:31:10","005B0000006Mf6rIAC","2022-02-24 02:03:55","005B0000006Mf6rIAC","2022-02-24 02:03:55","","","","","","","","000000000000000AAA","","0","0","","","","","","","0","","","0","","","","","0","0","0","","0","","0","","","","","","","0","","","","","","0","","Personal","0","8","",""
"003B000000HTCTgIAP","0","","001B000001KJzZwIAL","","Leanne","Tomlin","","","","","","","","","10 Main Rd.","New York","NY","31349","USA","","","","(212) 555-5555","(212) 555-5555","","","","","","info@salesforce.com","VP Customer Support","","","","","","005B0000006Mf6rIAC","0","0","0","2020-06-16 14:31:10","005B0000006Mf6rIAC","2022-02-24 02:03:55","005B0000006Mf6rIAC","2022-02-24 02:03:55","","","","","","","","000000000000000AAA","","0","0","","","","","","","0","","","0","","","","","0","0","0","","0","","0","","","","","","","0","","","","","","0","","Business","0","13","",""
"003B000000HTCThIAP","0","","001B000001KJzZxIAL","Mr.","Marc","Benioff","The Landmark @ One Market, Suite 300","San Francisco","CA","94105","USA","","","","The Landmark @ One Market, Suite 300","San Francisco","CA","94105","USA","","","","(415) 901-7000","(415) 901-7040","","","","","","info@salesforce.com","Executive Officer","","","","","Marc R. Benioff is chairman and CEO of salesforce.com. He founded the company in March 1999 with the idea to create an information utility that would make traditional enterprise software technology and business models obsolete. A veteran of 25 years in the software industry, he is now regarded as a pioneer of ""The End Of Software,"" demonstrating how on-demand applications can replace traditional software to deliver immediate benefit at reduced risk. In May 2003, Benioff was appointed by President George W. Bush as co-chair of the President's Information Technology Advisory Committee (PITAC), a bi-partisan organization of business leaders and academics charged to advise The President on how to maintain the United States' preeminent position in information technology.","005B0000006Mf6rIAC","0","0","0","2020-06-16 14:31:10","005B0000006Mf6rIAC","2020-06-16 14:31:10","005B0000006Mf6rIAC","2020-06-16 14:31:10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HGIA1","0","","001B000001LFj9wIAD","","Adam","Roth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2021-03-03 22:45:04","005B0000006Mf6rIAC","2021-03-03 22:45:04","","","","","","","","000000000000000AAA","2004-04-28 00:00:00","0","1","54.0","","66668","Active","147.0","Primary","0","Unknown","0034P00002UgFcRQAV","0","Male","120691.59","007","","0","1","1","46.0","1","Individual","0","","","","Hospitality","","","0","","","","","","0","Personal Banking","Personal","","","",""
"003B000000HY3HHIA1","0","","001B000001LFjPDIA1","","Alexa","Roth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2021-03-03 22:45:04","005B0000006Mf6rIAC","2021-03-03 22:45:04","","","","","","","","000000000000000AAA","2000-07-19 00:00:00","0","0","52.0","","183800","Inactive","180.0","Primary","0","Unknown","0034P00002Uj4FbQAJ","0","Male","99242.97","KFC","","0","1","1","28.0","1","Individual","0","","","","Finance","","","0","","","","","","0","Personal Banking","Personal","","","",""
"003B000000HY3HIIA1","0","","000000000000000AAA","","Karen","Troy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2022-02-24 02:03:55","005B0000006Mf6rIAC","2022-02-24 02:03:55","","","","","","","","000000000000000AAA","2015-10-09 00:00:00","0","1","25.0","","1475149","Active","0.0","Primary","0","Unknown","0034P00002Ujqt8QAB","0","Male","","","","1","1","1","16.0","1","","0","","","","","","","0","","","","","","0","","Personal","0","29","",""
"003B000000HY3HJIA1","0","","000000000000000AAA","","Steven","Huber","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2022-02-24 02:03:55","005B0000006Mf6rIAC","2022-02-24 02:03:55","","","","","","","","000000000000000AAA","2013-11-05 00:00:00","0","1","23.0","","1214198","Active","20.0","Primary","0","Unknown","0034P00002UgbWYQAZ","0","Female","","KHE","","0","1","1","20.0","1","College","0","","","","","","","0","","","","","","0","","Business","0","56","",""
"003B000000HY3HKIA1","0","","000000000000000AAA","","Rasmus","Kumar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2012-07-10 00:00:00","0","1","46.0","","1022834","Active","36.0","Primary","0","Unknown","0034P00002UgoAdQAJ","0","Female","781590.0","KAT","","0","1","1","38.0","1","Individual","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HLIA1","0","","000000000000000AAA","","Timothy","Ovid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2015-09-17 00:00:00","0","1","20.0","","1452333","Active","0.0","Primary","0","Unknown","0034P00002UjvoZQAR","0","Female","110901.15","","","1","1","1","15.0","1","","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HMIA1","0","","000000000000000AAA","","David","Tremaine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2021-03-03 22:45:04","005B0000006Mf6rIAC","2021-03-03 22:45:04","","","","","","","","000000000000000AAA","2014-04-11 00:00:00","0","0","38.0","","1253325","Inactive","15.0","Primary","0","Unknown","0034P00002UiVU7QAN","0","Male","","KFC","","0","1","1","8.0","1","Individual","0","","","","","","","0","","","","","","0","Personal Banking","Personal","","","",""
"003B000000HY3HNIA1","0","","000000000000000AAA","","Heidi","Stevenson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2006-05-22 00:00:00","0","1","36.0","","615175","Active","110.0","Primary","0","Unknown","0034P00002UihdZQAR","0","Female","50738.76","KFC","","0","1","1","28.0","1","Individual","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HOIA1","0","","000000000000000AAA","","Will","Gundarssen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2015-10-16 00:00:00","0","1","32.0","","1482053","Active","0.0","Primary","0","Unknown","0034P00002UjyhHQAR","1","Female","","","","1","1","1","23.0","1","","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HPIA1","0","","000000000000000AAA","","Steven","Roth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2012-08-10 00:00:00","0","0","23.0","","1049950","Inactive","35.0","Primary","0","Unknown","0034P00002Ug7tTQAR","0","Male","89592.33","KHE","","0","1","1","45.0","1","College","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HQIA1","0","","000000000000000AAA","","Karen","Stevenson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","1999-11-30 00:00:00","0","0","53.0","","149825","Inactive","188.0","Primary","0","Unknown","0034P00002UgqT7QAJ","0","Male","","KAT","","0","1","1","8.0","1","Individual","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HRIA1","0","","000000000000000AAA","","Jim","Davis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2000-11-23 00:00:00","0","1","40.0","","206259","Active","176.0","Primary","0","Unknown","0034P00002Ufz6bQAB","0","Female","188610.45","KAT","","0","1","1","28.0","1","Individual","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HSIA1","0","","000000000000000AAA","","Jiminy","David","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2007-06-28 00:00:00","0","1","44.0","","700178","Active","97.0","Primary","0","Unknown","0034P00002Uh5uvQAB","0","Female","109693.89","KFC","","0","1","1","28.0","1","College","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HTIA1","0","","000000000000000AAA","","Will","Tran","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2015-09-10 00:00:00","0","1","20.0","","1445430","Active","0.0","Primary","0","Unknown","0034P00002UjeGEQAZ","0","Male","52331.85","","","1","1","1","30.0","1","","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HUIA1","0","","000000000000000AAA","","Sarah","Stetson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","1996-07-25 00:00:00","0","0","76.0","","43933","Inactive","61.0","Primary","0","Unknown","0034P00002UizWCQAZ","0","Female","238558.41","KFC","","0","1","1","28.0","1","Individual","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HVIA1","0","","000000000000000AAA","","Heidi","Perry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2001-07-17 00:00:00","0","0","38.0","","262589","Former Customer","0.0","Former Primary","0","Unknown","0034P00002UhBeaQAF","0","Male","","","","1","1","1","50.0","1","","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HWIA1","0","","000000000000000AAA","","Stephanie","David","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2011-09-14 00:00:00","0","1","25.0","","942785","Active","46.0","Primary","0","Unknown","0034P00002UhRIlQAN","0","Male","87630.27","KHE","","0","1","1","16.0","1","College","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HXIA1","0","","000000000000000AAA","","Steven","Johnson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2000-07-05 00:00:00","0","0","50.0","","180786","Inactive","180.0","Primary","0","Unknown","0034P00002Uj2pQQAR","0","Female","151206.54","KFC","","0","1","1","8.0","1","Individual","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HYIA1","0","","000000000000000AAA","","Rasmus","Rasmussen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2010-06-21 00:00:00","0","0","44.0","","883709","Inactive","61.0","Primary","0","Unknown","0034P00002UiU3CQAV","0","Female","180300.57","KFC","","0","1","1","3.0","1","Individual","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HZIA1","0","","000000000000000AAA","","Davina","Tremaine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2021-03-03 22:45:04","005B0000006Mf6rIAC","2021-03-03 22:45:04","","","","","","","","000000000000000AAA","2014-12-09 00:00:00","0","1","51.0","","1367256","Inactive","7.0","Primary","0","Unknown","0034P00002UghXbQAJ","0","Male","","KHK","","0","1","1","30.0","1","Individual","0","","","","","","","0","","","","","","0","Personal Banking","Personal","","","",""
"003B000000HY3HaIAL","0","","000000000000000AAA","","Bob","Jansen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2021-03-03 22:45:04","005B0000006Mf6rIAC","2021-03-03 22:45:04","","","","","","","","000000000000000AAA","2005-08-10 00:00:00","0","0","69.0","","547627","Inactive","119.0","Primary","0","Unknown","0034P00002UiHk7QAF","0","Male","78720.63","KAT","","0","1","1","28.0","1","Individual","0","","","","","","","0","","","","","","0","Personal Banking","Personal","","","",""
"003B000000HY3HbIAL","0","","000000000000000AAA","","Heidi","Stetson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2015-01-09 00:00:00","0","1","55.0","","1375038","Active","6.0","Primary","0","Unknown","0034P00002UhEU9QAN","0","Female","","KHK","","0","1","1","28.0","1","Individual","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HcIAL","0","","000000000000000AAA","","Rasmus","Blette","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2013-09-17 00:00:00","0","0","22.0","","1177798","Inactive","22.0","Primary","0","Unknown","0034P00002UimFOQAZ","0","Male","141332.88","KHE","","0","1","1","15.0","1","College","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HdIAL","0","","000000000000000AAA","","Sarah","Tran","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","005B0000006Mf6rIAC","2020-07-16 20:55:20","","","","","","","","000000000000000AAA","2001-07-16 00:00:00","0","1","59.0","","93052","Active","168.0","Primary","0","Unknown","0034P00002UgOUuQAN","0","Female","116928.12","KAT","","0","1","1","29.0","1","VIP","0","","","","","","","","","","","","","","","","","","",""
"003B000000HY3HeIAL","0","","000000000000000AAA","","Al","Trivedi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2021-03-03 22:45:04","005B0000006Mf6rIAC","2021-03-03 22:45:04","","","","","","","","000000000000000AAA","2012-08-06 00:00:00","0","1","22.0","","1044753","Active","35.0","Primary","0","Unknown","0034P00002UgeRLQAZ","0","Male","68061.99","KHE","","0","1","1","16.0","1","College","0","","","","","","","0","","","","","","0","Personal Banking","Personal","","","",""
"003B000000HY3HfIAL","0","","000000000000000AAA","","Al","Jaiswal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2021-03-03 22:45:04","005B0000006Mf6rIAC","2021-03-03 22:45:04","","","","","","","","000000000000000AAA","2006-11-13 00:00:00","0","1","48.0","","656288","Active","104.0","Primary","0","Unknown","0034P00002UjCXEQA3","0","Female","188868.78","KAT","","0","1","1","8.0","1","Individual","0","","","","","","","0","","","","","","0","Personal Banking","Personal","","","",""
"003B000000HY3HgIAL","0","","001B000001LFj9xIAD","","David","Martin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005B0000006Mf6rIAC","0","0","0","2020-07-16 20:55:20","005B0000006Mf6rIAC","2021-03-03 22:45:04","005B0000006Mf6rIAC","2021-03-03 22:45:04","","","","","","","","000000000000000AAA","2012-03-22 00:00:00","0","0","33.0","","1009506","Inactive","40.0","Primary","0","Unknown","0034P00002UhCvLQAV","0","Male","69906.27","KFC","","0","1","1","28.0","1","Individual","0","","","","Finance","","","0","","","","","","0","Personal Banking","Personal","","","",""
